identificador,edad,credito,cumplio_pago
0,56,806797,0
1,62,662092,1
2,29,720532,1
3,30,223378,1
4,23,843335,1
5,23,550723,0
6,40,188764,0
7,37,783180,0
8,46,633058,1
9,28,742691,1
10,37,97758,0
11,29,184215,1
12,51,802914,1
13,48,180463,1
14,41,321644,0
15,61,786628,1
16,57,672539,0
17,38,434396,1
18,56,288112,0
19,38,496565,1
20,49,366357,0
21,25,541688,1
22,51,743446,1
23,38,532544,0
24,52,120533,1
25,59,161927,1
26,33,990209,1
27,28,778201,0
28,43,192581,1
29,44,822343,1
30,62,667159,0
31,49,782702,1
32,37,623092,1
33,26,264177,0
34,32,453446,1
35,20,657861,0
36,63,242531,0
37,31,969401,1
38,51,386807,1
39,25,510159,1
40,41,453428,1
41,33,57636,0
42,50,784360,0
43,61,111200,1
44,51,982765,0
45,26,369633,0
46,31,447863,1
47,23,615814,0
48,56,628105,0
49,63,198400,1
50,55,976091,1
51,57,888933,1
52,56,272921,1
53,54,572072,1
54,25,104934,0
55,31,342793,1
56,26,421835,0
57,18,550761,1
58,53,287938,1
59,27,176064,0
60,34,200482,1
61,38,386529,1
62,54,242673,0
63,41,683717,0
64,42,73020,0
65,62,803903,0
66,42,248818,0
67,39,435969,0
68,34,296502,1
69,40,443022,0
70,26,294188,1
71,23,119035,0
72,34,22870,0
73,23,422271,0
74,49,743797,1
75,61,460846,0
76,57,238081,1
77,56,198780,1
78,55,685874,0
79,41,891109,0
80,29,538822,0
81,26,562957,0
82,52,525617,1
83,60,233285,0
84,58,112801,1
85,60,957778,1
86,22,163525,0
87,38,129018,1
88,45,915873,0
89,59,839041,0
90,26,979173,0
91,49,418472,0
92,26,93033,1
93,44,267869,0
94,24,954258,0
95,63,972230,0
96,27,858556,1
97,27,455042,0
98,51,158821,0
99,34,356388,1
100,41,652758,1
101,58,960614,1
102,53,207343,0
103,46,565228,1
104,23,269935,1
105,43,956526,1
106,60,339944,1
107,40,231236,1
108,27,724509,0
109,41,565718,1
110,55,710911,0
111,45,294199,1
112,55,708765,0
113,37,820016,1
114,54,200442,0
115,51,769222,1
116,47,102552,1
117,46,696032,0
118,58,716724,1
119,29,712622,0
120,24,489933,1
121,36,614383,1
122,54,961345,0
123,31,522422,1
124,62,314349,1
125,34,313215,0
126,41,553164,1
127,49,322194,1
128,63,104083,0
129,21,324862,1
130,56,174406,1
131,46,294706,0
132,23,231283,1
133,62,676668,0
134,43,667315,0
135,64,415674,0
136,40,187505,0
137,48,570633,0
138,23,508535,1
139,29,703394,1
140,25,793082,0
141,25,948922,1
142,23,128590,1
143,47,415144,0
144,25,346310,0
145,40,743924,1
146,55,672486,1
147,54,801011,0
148,22,972415,0
149,52,781808,0
150,56,238277,0
151,48,238008,1
152,38,30256,1
153,51,799600,0
154,55,846973,1
155,46,804818,1
156,59,168126,0
157,35,420991,1
158,57,91737,0
159,27,974666,1
160,25,136000,1
161,49,6524,1
162,18,858876,1
163,60,553294,0
164,22,823216,0
165,28,730957,1
166,22,617518,1
167,28,347273,0
168,26,72941,0
169,18,599429,0
170,64,884458,1
171,36,150273,0
172,44,168739,0
173,22,56197,1
174,62,17887,0
175,62,439635,1
176,43,50549,1
177,47,813391,0
178,20,403148,0
179,52,37058,1
180,19,498889,1
181,63,25905,1
182,60,289551,1
183,32,73877,0
184,35,625790,0
185,61,912951,1
186,28,708882,0
187,29,622444,1
188,47,489954,1
189,43,261308,1
190,30,746927,0
191,52,944477,0
192,50,441994,0
193,41,64343,1
194,29,817616,1
195,40,563981,0
196,55,63666,1
197,61,203073,1
198,33,990310,0
199,64,395352,1
